Experiment Information,,,,
Timestamp,20260115_174401,,,
Model,gemma3:27b,,,
Few-shot IDs,"[0, 18, 46]",,,
Total Test Dialogues,47,,,
,,,,
Metric,Micro-F1,Macro-F1,Weighted-F1,Total TP
Entity,0.4977,0.5749,0.5575,54
Axis,0.4881,0.4825,0.5000,41
Sub-Axis,0.4025,0.3941,0.4136,32
Hierarchical Axis,0.5271,0.4622,0.4861,0
Polarity,0.5967,0.6492,0.6522,54
Intensity,0.3924,0.4045,0.4001,31
Context,0.4512,0.4702,0.4467,37
Perfect Match,0.1857,0.1751,0.1710,13
,,,,
Detailed Metrics,,,,
Metric,Type,Precision,Recall,F1
Entity,Micro,0.4252,0.6000,0.4977
Entity,Macro,0.5804,0.6147,0.5749
Entity,Weighted,0.5637,0.6000,0.5575
Axis,Micro,0.3596,0.7593,0.4881
Axis,Macro,0.4396,0.6190,0.4825
Axis,Weighted,0.4442,0.6778,0.5000
Sub-Axis,Micro,0.3048,0.5926,0.4025
Sub-Axis,Macro,0.3701,0.4762,0.3941
Sub-Axis,Weighted,0.3794,0.5278,0.4136
Hierarchical Axis,Micro,0.6759,0.4320,0.5271
Hierarchical Axis,Macro,0.5476,0.4266,0.4622
Hierarchical Axis,Weighted,0.6028,0.4357,0.4861
Polarity,Micro,0.4252,1.0000,0.5967
Polarity,Macro,0.5804,0.8333,0.6492
Polarity,Weighted,0.5637,0.8889,0.6522
Intensity,Micro,0.2981,0.5741,0.3924
Intensity,Macro,0.3812,0.4921,0.4045
Intensity,Weighted,0.3756,0.5000,0.4001
Context,Micro,0.3364,0.6852,0.4512
Context,Macro,0.4222,0.5913,0.4702
Context,Weighted,0.3869,0.5981,0.4467
Perfect Match,Micro,0.1512,0.2407,0.1857
Perfect Match,Macro,0.1655,0.2024,0.1751
Perfect Match,Weighted,0.1594,0.2056,0.1710
