Experiment Information,,,,
Timestamp,20260112_161922,,,
Model,gpt-4o-mini,,,
Few-shot IDs,"[0, 18, 46]",,,
Total Test Dialogues,47,,,
,,,,
Metric,Micro-F1,Macro-F1,Weighted-F1,Total TP
Entity,0.4312,0.5305,0.5320,58
Axis,0.3727,0.3817,0.4148,41
Sub-Axis,0.2451,0.2462,0.2577,25
Hierarchical Axis,0.4632,0.4118,0.4261,0
Polarity,0.4895,0.5672,0.5799,58
Intensity,0.3874,0.4379,0.4661,43
Context,0.3653,0.4008,0.4062,40
Perfect Match,0.1058,0.0944,0.1067,10
,,,,
Detailed Metrics,,,,
Metric,Type,Precision,Recall,F1
Entity,Micro,0.3240,0.6444,0.4312
Entity,Macro,0.4731,0.6643,0.5305
Entity,Weighted,0.4826,0.6444,0.5320
Axis,Micro,0.2531,0.7069,0.3727
Axis,Macro,0.3267,0.5913,0.3817
Axis,Weighted,0.3590,0.6556,0.4148
Sub-Axis,Micro,0.1712,0.4310,0.2451
Sub-Axis,Macro,0.2233,0.3651,0.2462
Sub-Axis,Weighted,0.2382,0.3889,0.2577
Hierarchical Axis,Micro,0.5690,0.3905,0.4632
Hierarchical Axis,Macro,0.4782,0.3899,0.4118
Hierarchical Axis,Weighted,0.5222,0.3919,0.4261
Polarity,Micro,0.3240,1.0000,0.4895
Polarity,Macro,0.4731,0.8571,0.5672
Polarity,Weighted,0.4826,0.9000,0.5799
Intensity,Micro,0.2622,0.7414,0.3874
Intensity,Macro,0.3887,0.6230,0.4379
Intensity,Weighted,0.4125,0.6778,0.4661
Context,Micro,0.2484,0.6897,0.3653
Context,Macro,0.3411,0.5952,0.4008
Context,Weighted,0.3469,0.6167,0.4062
Perfect Match,Micro,0.0763,0.1724,0.1058
Perfect Match,Macro,0.0974,0.1270,0.0944
Perfect Match,Weighted,0.1141,0.1444,0.1067
