Experiment Information,,,,
Timestamp,20260112_194507,,,
Model,gpt-4o,,,
Few-shot IDs,"[0, 18, 46]",,,
Total Test Dialogues,47,,,
,,,,
Metric,Micro-F1,Macro-F1,Weighted-F1,Total TP
Entity,0.6122,0.6609,0.6429,60
Axis,0.5578,0.5064,0.5081,41
Sub-Axis,0.3939,0.3520,0.3409,26
Hierarchical Axis,0.4637,0.4662,0.4408,0
Polarity,0.6994,0.7310,0.7262,57
Intensity,0.5960,0.5982,0.5912,45
Context,0.6053,0.6093,0.5899,46
Perfect Match,0.2185,0.1964,0.1833,13
,,,,
Detailed Metrics,,,,
Metric,Type,Precision,Recall,F1
Entity,Micro,0.5660,0.6667,0.6122
Entity,Macro,0.6777,0.7139,0.6609
Entity,Weighted,0.6784,0.6667,0.6429
Axis,Micro,0.4713,0.6833,0.5578
Axis,Macro,0.4694,0.6389,0.5064
Axis,Weighted,0.4757,0.6444,0.5081
Sub-Axis,Micro,0.3611,0.4333,0.3939
Sub-Axis,Macro,0.3495,0.4365,0.3520
Sub-Axis,Weighted,0.3459,0.4167,0.3409
Hierarchical Axis,Micro,0.5583,0.3964,0.4637
Hierarchical Axis,Macro,0.5377,0.4425,0.4662
Hierarchical Axis,Weighted,0.5306,0.4094,0.4408
Polarity,Micro,0.5534,0.9500,0.6994
Polarity,Macro,0.6757,0.8810,0.7310
Polarity,Weighted,0.6757,0.8778,0.7262
Intensity,Micro,0.4945,0.7500,0.5960
Intensity,Macro,0.5816,0.6905,0.5982
Intensity,Weighted,0.5839,0.6722,0.5912
Context,Micro,0.5000,0.7667,0.6053
Context,Macro,0.5504,0.7341,0.6093
Context,Weighted,0.5339,0.7093,0.5899
Perfect Match,Micro,0.2203,0.2167,0.2185
Perfect Match,Macro,0.1992,0.2341,0.1964
Perfect Match,Weighted,0.1922,0.2093,0.1833
