Experiment Information,,,,
Timestamp,20260112_194507,,,
Model,gpt-4o,,,
Few-shot IDs,"[0, 18, 46]",,,
Total Test Dialogues,47,,,
Total Matched Pairs,49,,,
,,,,
Metric,Micro-F1,Macro-F1,Weighted-F1,Total TP
Entity,0.5000,0.5508,0.5326,49
Axis,0.4857,0.4317,0.4404,34
Sub-Axis,0.3307,0.2803,0.2810,21
Hierarchical Axis,0.4120,0.3841,0.3844,0
Polarity,0.6234,0.6421,0.6422,48
Intensity,0.5379,0.5475,0.5481,39
Context,0.5070,0.5126,0.4939,36
Perfect Match,0.1724,0.1528,0.1528,10
,,,,
Conditional Classification Accuracy (within matched pairs),,,,
Attribute,Micro-Accuracy,Macro-Accuracy,,
Axis,0.6939,0.7000,,
Sub-Axis,0.4286,0.4429,,
Polarity,0.9796,0.9857,,
Intensity,0.7959,0.8143,,
Context,0.7347,0.7714,,
Perfect,0.2041,0.2143,,
,,,,
Detailed Metrics,,,,
Metric,Type,Precision,Recall,F1
Entity,Micro,0.4623,0.5444,0.5000
Entity,Macro,0.5779,0.5810,0.5508
Entity,Weighted,0.5742,0.5444,0.5326
Axis,Micro,0.3736,0.6939,0.4857
Axis,Macro,0.3954,0.5833,0.4317
Axis,Weighted,0.4020,0.6222,0.4404
Sub-Axis,Micro,0.2692,0.4286,0.3307
Sub-Axis,Macro,0.2755,0.3690,0.2803
Sub-Axis,Weighted,0.2778,0.3833,0.2810
Hierarchical Axis,Micro,0.5612,0.3254,0.4120
Hierarchical Axis,Macro,0.4762,0.3452,0.3841
Hierarchical Axis,Weighted,0.5028,0.3335,0.3844
Polarity,Micro,0.4571,0.9796,0.6234
Polarity,Macro,0.5740,0.8214,0.6421
Polarity,Weighted,0.5687,0.8500,0.6422
Intensity,Micro,0.4062,0.7959,0.5379
Intensity,Macro,0.5048,0.6786,0.5475
Intensity,Weighted,0.5044,0.6944,0.5481
Context,Micro,0.3871,0.7347,0.5070
Context,Macro,0.4572,0.6429,0.5126
Context,Weighted,0.4382,0.6333,0.4939
Perfect Match,Micro,0.1493,0.2041,0.1724
Perfect Match,Macro,0.1548,0.1786,0.1528
Perfect Match,Weighted,0.1574,0.1778,0.1528
