Experiment Information,,,,
Timestamp,20260115_164412,,,
Model,llama3.1:8b,,,
Few-shot IDs,"[0, 18, 46]",,,
Total Test Dialogues,47,,,
,,,,
Metric,Micro-F1,Macro-F1,Weighted-F1,Total TP
Entity,0.4540,0.5147,0.4603,37
Axis,0.4632,0.3991,0.3884,22
Sub-Axis,0.2824,0.2397,0.2348,12
Hierarchical Axis,0.2798,0.2676,0.2479,0
Polarity,0.6727,0.6610,0.6402,37
Intensity,0.3218,0.2261,0.2046,14
Context,0.4948,0.4690,0.4461,24
Perfect Match,0.0533,0.0476,0.0333,2
,,,,
Detailed Metrics,,,,
Metric,Type,Precision,Recall,F1
Entity,Micro,0.5068,0.4111,0.4540
Entity,Macro,0.6422,0.4778,0.5147
Entity,Weighted,0.6179,0.4111,0.4603
Axis,Micro,0.3793,0.5946,0.4632
Axis,Macro,0.4180,0.4167,0.3991
Axis,Weighted,0.4086,0.4222,0.3884
Sub-Axis,Micro,0.2500,0.3243,0.2824
Sub-Axis,Macro,0.2579,0.2381,0.2397
Sub-Axis,Weighted,0.2574,0.2333,0.2348
Hierarchical Axis,Micro,0.4595,0.2012,0.2798
Hierarchical Axis,Macro,0.3274,0.2464,0.2676
Hierarchical Axis,Weighted,0.3278,0.2180,0.2479
Polarity,Micro,0.5068,1.0000,0.6727
Polarity,Macro,0.6422,0.7143,0.6610
Polarity,Weighted,0.6179,0.7111,0.6402
Intensity,Micro,0.2800,0.3784,0.3218
Intensity,Macro,0.2216,0.2619,0.2261
Intensity,Weighted,0.1975,0.2556,0.2046
Context,Micro,0.4000,0.6486,0.4948
Context,Macro,0.4815,0.4881,0.4690
Context,Weighted,0.4568,0.4833,0.4461
Perfect Match,Micro,0.0526,0.0541,0.0533
Perfect Match,Macro,0.0476,0.0476,0.0476
Perfect Match,Weighted,0.0333,0.0333,0.0333
