Experiment Information,,,,
Timestamp,20260112_185850,,,
Model,gemma3:27b,,,
Few-shot IDs,"[0, 18, 46]",,,
Total Test Dialogues,47,,,
,,,,
Metric,Micro-F1,Macro-F1,Weighted-F1,Total TP
Entity,0.4785,0.5549,0.5273,50
Axis,0.5031,0.4917,0.4895,40
Sub-Axis,0.4342,0.4195,0.4151,33
Hierarchical Axis,0.5428,0.4911,0.4791,0
Polarity,0.5917,0.6298,0.6217,50
Intensity,0.3357,0.3188,0.3172,24
Context,0.4133,0.4444,0.3974,31
Perfect Match,0.1406,0.1524,0.1237,9
,,,,
Detailed Metrics,,,,
Metric,Type,Precision,Recall,F1
Entity,Micro,0.4202,0.5556,0.4785
Entity,Macro,0.5679,0.5968,0.5549
Entity,Weighted,0.5467,0.5556,0.5273
Axis,Micro,0.3670,0.8000,0.5031
Axis,Macro,0.4607,0.6310,0.4917
Axis,Weighted,0.4504,0.6556,0.4895
Sub-Axis,Micro,0.3235,0.6600,0.4342
Sub-Axis,Macro,0.4032,0.5238,0.4195
Sub-Axis,Weighted,0.3893,0.5500,0.4151
Hierarchical Axis,Micro,0.7300,0.4320,0.5428
Hierarchical Axis,Macro,0.5774,0.4575,0.4911
Hierarchical Axis,Weighted,0.6028,0.4291,0.4791
Polarity,Micro,0.4202,1.0000,0.5917
Polarity,Macro,0.5679,0.8095,0.6298
Polarity,Weighted,0.5467,0.8333,0.6217
Intensity,Micro,0.2581,0.4800,0.3357
Intensity,Macro,0.2907,0.4087,0.3188
Intensity,Weighted,0.2861,0.4167,0.3172
Context,Micro,0.3100,0.6200,0.4133
Context,Macro,0.4155,0.5357,0.4444
Context,Weighted,0.3585,0.5111,0.3974
Perfect Match,Micro,0.1154,0.1800,0.1406
Perfect Match,Macro,0.1556,0.1667,0.1524
Perfect Match,Weighted,0.1252,0.1444,0.1237
